DBN,sch.name,sch.pop,sch.rig.instr,sch.coll.teach,sch.support.env,sch.eff.lead,sch.fam.inv,sch.trust,sch.ela,sch.mth,sch.ell,sch.iep,sch.contained,sch.ENI,sch.tmp.hous,sch.HRA,sch.eth.aapi,sch.eth.bl,sch.eth.his,sch.eth.wh,sch.princ.yrs,sch.teach.3plus,sch.st.att,sch.abs.18plus,sch.tch.att,sch.coll.3sem,sch.grad
05M304,Mott Hall High School,288,0.66,0.67,0.66,0.7,0.94,0.83,2.51,2.27,0.201,0.319,0.021,0.91,0.24,0.826,0.042,0.344,0.569,0.028,8.9,0.529,0.845,0.389,0.951,0.381,0.64
05M362,Columbia Secondary School,421,0.85,0.8,0.76,0.86,0.9,0.9,3.77,4,0.005,0.133,0.002,0.51,0.043,0.352,0.102,0.181,0.397,0.264,7.9,0.796,0.924,0.238,0.973,0.933,0.96
05M369,Urban Assembly School for the Performing Arts,387,0.82,0.78,0.75,0.88,0.83,0.89,2.65,2.31,0.075,0.243,0.047,0.87,0.158,0.783,0.008,0.478,0.475,0.008,5,0.731,0.827,0.521,0.962,0.461,0.73
05M499,Frederick Douglass Academy,981,0.7,0.7,0.58,0.71,0.82,0.81,2.88,2.68,0.047,0.16,0.006,0.78,0.129,0.664,0.015,0.69,0.261,0.021,2,0.952,0.891,0.329,0.964,0.632,0.82
05M670,Thurgood Marshall Academy for Learning and Social,386,0.74,0.76,0.64,0.86,0.87,0.89,2.83,2.47,0.039,0.215,0.018,0.77,0.127,0.619,0.018,0.663,0.293,0.008,1.2,0.902,0.911,0.252,0.952,0.554,0.84
05M692,"High School for Mathematics, Science and Engineeri",491,0.89,0.8,0.85,0.84,0.89,0.87,3.99,4.27,0.002,0.055,0,0.4,0.035,0.269,0.297,0.086,0.167,0.301,7.7,0.935,0.952,0.122,0.965,0.783,0.99
06M211,Inwood Early College for Health and Information Te,414,0.68,0.66,0.67,0.75,0.9,0.89,2.79,2.69,0.116,0.256,0.002,0.82,0.123,0.71,0.005,0.118,0.843,0.014,5.1,0.697,0.822,0.534,0.955,N<15,0.71
06M293,City College Academy of the Arts,346,0.83,0.77,0.74,0.78,0.91,0.88,3.37,3.45,0.029,0.142,0,0.78,0.084,0.671,0.017,0.049,0.89,0.035,14.1,0.795,0.936,0.185,0.968,0.795,0.95
06M346,Community Health Academy of the Heights,435,0.88,0.92,0.82,0.96,0.93,0.95,2.83,2.55,0.179,0.166,0.002,0.91,0.163,0.802,0.009,0.057,0.915,0.016,8.2,0.846,0.817,0.511,0.987,0.523,0.84
06M348,Washington Heights Expeditionary Learning School,381,0.82,0.84,0.79,0.84,0.89,0.92,2.9,2.88,0.094,0.189,0.013,0.86,0.147,0.761,0.005,0.045,0.942,0.003,3.9,0.769,0.892,0.307,0.977,0.614,0.9
06M462,The College Academy,427,0.8,0.8,0.72,0.85,0.88,0.85,2.31,2.18,0.522,0.18,0.026,0.93,0.302,0.81,0.002,0.066,0.899,0.021,3,0.645,0.821,0.518,0.972,0.353,0.73
06M463,High School for Media and Communications,396,0.75,0.8,0.7,0.81,0.9,0.88,2.46,2.14,0.497,0.177,0.003,0.93,0.331,0.818,0.008,0.093,0.876,0.013,4,0.741,0.899,0.221,0.966,0.33,0.69
06M467,High School for Law and Public Service,481,0.83,0.92,0.72,0.97,0.96,0.95,2.51,2.3,0.389,0.258,0.108,0.92,0.27,0.823,0.006,0.139,0.832,0.021,19.9,0.912,0.799,0.607,0.966,0.477,0.55
06M468,High School for Health Careers and Sciences,423,0.78,0.8,0.67,0.86,0.99,0.89,2.48,2.26,0.411,0.184,0.007,0.92,0.246,0.811,0.019,0.149,0.811,0.012,6.5,0.8,0.887,0.285,0.962,0.383,0.78
06M540,A. Philip Randolph Campus High School,1503,0.8,0.8,0.71,0.83,0.83,0.87,2.85,2.66,0.142,0.156,0.019,0.86,0.152,0.77,0.055,0.277,0.633,0.023,7.6,0.884,0.857,0.417,0.966,0.505,0.84
06M552,Gregorio Luperon High School for Science and Mathe,521,0.87,0.92,0.85,0.96,0.93,0.95,2,2.13,0.781,0.023,0.004,0.99,0.418,0.781,0,0,1,0,2.7,0.8,0.915,0.222,0.971,0.534,0.87
07X221,South Bronx Preparatory: A College Board School,389,0.9,0.92,0.86,0.93,0.88,0.93,2.81,2.56,0.054,0.239,0,0.92,0.111,0.825,0.018,0.257,0.704,0.015,12.1,0.64,0.923,0.204,0.976,0.716,0.94
07X223,The Laboratory School of Finance and Technology: X,368,0.78,0.78,0.72,0.81,0.87,0.86,3.08,3.24,0.063,0.182,0,0.9,0.109,0.818,0.008,0.185,0.802,0.003,16.1,0.623,0.903,0.299,0.972,0.589,0.88
07X259,"H.E.R.O. High (Health, Education, and Research Occ",530,0.8,0.92,0.68,0.94,0.87,0.93,2.71,2.45,0.1,0.208,0.008,0.87,0.192,0.768,0.015,0.389,0.572,0.008,6.1,0.525,0.851,0.413,0.958,0.266,0.75
07X334,International Community High School,425,0.85,0.81,0.78,0.86,0.89,0.9,1.79,1.82,0.814,0.08,0.007,0.98,0.313,0.765,0.04,0.162,0.753,0.024,12.6,0.897,0.891,0.31,0.967,0.282,0.85
07X427,Community School for Social Justice,327,0.92,0.99,0.94,0.99,0.97,0.98,2.42,2.13,0.205,0.257,0.018,0.92,0.205,0.85,0,0.229,0.746,0.006,2.5,0.75,0.812,0.549,0.957,0.44,0.72
07X473,Mott Haven Village Preparatory High School,315,0.64,0.66,0.66,0.71,0.86,0.84,2.41,2.06,0.2,0.317,0.013,0.93,0.162,0.857,0.013,0.251,0.698,0.013,6.1,0.464,0.767,0.603,0.972,0.32,0.51
07X495,University Heights Secondary School,519,0.89,0.94,0.85,0.98,0.98,0.94,3.35,3.31,0.025,0.185,0.002,0.81,0.073,0.699,0.052,0.256,0.636,0.019,9.9,0.8,0.937,0.183,0.977,0.72,0.99
07X500,Hostos-Lincoln Academy of Science,369,0.83,0.85,0.75,0.88,0.89,0.91,3.11,2.85,0.03,0.201,0.005,0.86,0.1,0.745,0.03,0.228,0.713,0.022,15,0.833,0.918,0.263,0.967,0.616,0.88
07X522,Bronx Design and Construction Academy,452,0.67,0.53,0.58,0.63,0.87,0.72,2.52,2.35,0.168,0.294,0.053,0.88,0.201,0.774,0.002,0.277,0.681,0.018,2.7,0.643,0.807,0.494,0.965,0.252,0.67
07X527,Bronx Leadership Academy II High School,511,0.78,0.74,0.73,0.78,0.89,0.87,2.53,2.29,0.131,0.278,0.033,0.92,0.184,0.851,0.008,0.266,0.706,0.012,4,0.578,0.853,0.486,0.962,0.491,0.78
07X548,Careers in Sports High School,528,0.77,0.85,0.75,0.89,0.82,0.9,2.56,2.43,0.174,0.25,0.006,0.89,0.205,0.782,0.004,0.292,0.68,0.021,8.5,0.892,0.822,0.522,0.955,0.423,0.61
07X551,The Urban Assembly Bronx Academy of Letters,336,0.74,0.86,0.68,0.9,0.87,0.91,2.51,2.09,0.119,0.28,0.086,0.93,0.143,0.845,0.012,0.295,0.664,0.027,0.9,0.742,0.807,0.622,0.992,0.616,0.88
07X600,Alfred E. Smith Career and Technical Education Hig,455,0.76,0.76,0.66,0.81,0.89,0.83,2.42,2.21,0.193,0.279,0.04,0.89,0.182,0.804,0.004,0.215,0.754,0.015,7.1,0.821,0.863,0.497,0.965,0.321,0.88
07X670,Health Opportunities High School,497,0.74,0.76,0.66,0.7,0.76,0.77,2.55,2.26,0.137,0.223,0.006,0.91,0.213,0.819,0.008,0.374,0.586,0.008,0.7,0.848,0.822,0.529,0.968,0.373,0.6
08X269,Bronx Studio School for Writers and Artists,351,0.74,0.59,0.62,0.62,0.85,0.8,2.69,2.28,0.1,0.248,0.006,0.91,0.16,0.835,0.009,0.231,0.744,0.014,1.9,0.709,0.853,0.471,0.959,0.493,0.73
08X282,Women's Academy of Excellence,248,0.75,0.87,0.63,0.83,0.81,0.82,2.48,2.17,0.214,0.202,0,0.9,0.23,0.835,0.113,0.371,0.335,0.157,15.1,0.6,0.791,0.583,0.944,0.391,0.66
08X293,Renaissance High School for Musical Theater and th,460,0.82,0.94,0.74,0.95,0.89,0.94,2.63,2.34,0.059,0.23,0.002,0.8,0.13,0.73,0.037,0.243,0.65,0.063,11.1,0.563,0.833,0.512,0.955,0.389,0.84
08X312,Millennium Art Academy,422,0.72,0.82,0.68,0.84,0.84,0.87,2.76,2.37,0.066,0.251,0.002,0.82,0.154,0.725,0.014,0.275,0.673,0.024,7.1,0.914,0.835,0.508,0.966,0.449,0.75
08X320,Pelham Lab High School,475,0.76,0.79,0.63,0.84,0.91,0.88,2.62,2.32,0.156,0.215,0.019,0.82,0.135,0.735,0.067,0.213,0.619,0.074,6.1,0.525,0.829,0.571,0.966,0.352,0.69
08X348,Schuylerville Preparatory High School,360,0.69,0.79,0.59,0.84,0.9,0.88,2.64,2.34,0.144,0.225,0.008,0.78,0.103,0.694,0.058,0.283,0.558,0.083,3.1,0.786,0.833,0.538,0.962,0.391,0.68
08X349,Bronx River High School,425,0.76,0.75,0.65,0.86,0.84,0.83,2.53,2.34,0.162,0.249,0.021,0.85,0.139,0.751,0.054,0.228,0.638,0.054,6.1,0.706,0.823,0.559,0.968,0.435,0.8
08X367,"Archimedes Academy for Math, Science and Technolog",358,0.73,0.71,0.63,0.74,0.84,0.81,2.59,2.34,0.128,0.282,0.078,0.84,0.193,0.737,0.087,0.254,0.631,0.02,12.1,0.804,0.847,0.512,0.962,0.284,0.65
08X376,Antonia Pantoja Preparatory Academy: A College Boa,233,0.73,0.69,0.6,0.78,0.86,0.84,2.55,2.1,0.155,0.305,0.009,0.87,0.223,0.773,0.077,0.197,0.691,0.013,4.5,0.971,0.826,0.577,0.947,0.333,0.67
08X405,Herbert H. Lehman High School,794,0.79,0.75,0.63,0.75,0.83,0.84,2.76,2.52,0.128,0.247,0.074,0.8,0.113,0.724,0.144,0.27,0.476,0.093,4,0.677,0.852,0.436,0.955,0.41,0.68
08X432,Bronx Bridges High School,329,0.8,0.86,0.78,0.88,0.9,0.9,1.96,1.97,0.839,0.116,0.003,0.98,0.261,0.802,0.128,0.046,0.766,0.036,4.9,0.2,0.845,0.557,0.978,0.257,0.76
08X452,Gotham Collaborative High School,532,0.75,0.86,0.66,0.9,0.87,0.93,2.45,2.15,0.154,0.263,0,0.91,0.207,0.838,0.092,0.305,0.585,0.009,2.1,0.765,0.797,0.567,0.967,0.219,0.58
08X530,Longwood Preparatory Academy,342,0.82,0.89,0.74,0.92,0.95,0.94,2.39,2.07,0.175,0.292,0.003,0.91,0.222,0.833,0.009,0.345,0.623,0.012,3.5,0.485,0.825,0.517,0.963,0.25,0.7
08X558,Westchester Square Academy,554,0.7,0.72,0.64,0.75,0.81,0.83,2.78,2.51,0.096,0.206,0.002,0.75,0.121,0.65,0.065,0.244,0.569,0.112,3,0.425,0.816,0.499,0.962,0.44,0.75
08X559,School for Tourism and Hospitality,299,0.65,0.54,0.57,0.49,0.71,0.72,2.39,2.1,0.247,0.294,0.007,0.94,0.291,0.849,0.007,0.308,0.656,0.02,2.2,0.808,0.7,0.718,0.952,0.315,0.39
08X561,Bronx Compass High School,381,0.66,0.71,0.62,0.83,0.83,0.88,2.66,2.4,0.108,0.234,0.021,0.87,0.178,0.793,0.042,0.281,0.638,0.021,2.5,0.588,0.836,0.559,0.96,0.245,0.8
09X227,Bronx Collegiate Academy,388,0.87,0.94,0.77,0.97,0.91,0.96,2.57,2.25,0.191,0.219,0.003,0.94,0.175,0.871,0.034,0.232,0.719,0.01,8.4,0.75,0.845,0.382,0.957,0.396,0.84
09X231,Eagle Academy for Young Men,291,0.71,0.56,0.63,0.63,0.91,0.78,2.49,2.48,0.052,0.234,0.048,0.8,0.107,0.701,0.007,0.55,0.405,0.017,3.8,0.657,0.896,0.255,0.952,0.507,0.71
09X241,Urban Assembly School for Applied Math and Science,334,0.72,0.74,0.69,0.82,0.93,0.9,2.6,2.78,0.114,0.296,0,0.9,0.117,0.802,0,0.32,0.668,0.006,0.9,0.518,0.852,0.436,0.969,0.709,0.71
09X250,Eximius College Preparatory Academy: A College Boa,430,0.88,0.9,0.82,0.94,0.92,0.89,2.77,2.52,0.086,0.256,0,0.87,0.147,0.772,0.009,0.321,0.653,0,7.9,0.667,0.885,0.394,0.964,0.476,0.8
09X252,Mott Hall Bronx High School,379,0.67,0.73,0.64,0.82,0.89,0.86,2.68,2.47,0.111,0.227,0.003,0.9,0.127,0.805,0,0.261,0.715,0.011,7.7,0.643,0.836,0.495,0.965,0.548,0.81
09X260,Bronx Center for Science and Mathematics,448,0.84,0.88,0.79,0.91,0.86,0.95,3.05,2.97,0.058,0.234,0.038,0.83,0.112,0.719,0.067,0.205,0.676,0.029,14.1,0.844,0.911,0.281,0.97,0.726,0.9
09X263,Validus Preparatory Academy,361,0.75,0.8,0.69,0.86,0.84,0.88,2.53,2.28,0.152,0.277,0.055,0.92,0.205,0.856,0.006,0.316,0.665,0.006,5,0.846,0.833,0.523,0.972,0.484,0.69
09X297,Morris Academy for Collaborative Studies,409,0.89,0.94,0.81,0.98,0.91,0.95,2.54,2.25,0.171,0.279,0.029,0.91,0.156,0.814,0.017,0.269,0.694,0.017,6.6,0.676,0.852,0.392,0.967,0.401,0.81
09X324,Bronx Early College Academy for Teaching & Learnin,272,0.83,0.86,0.7,0.88,0.91,0.91,3.07,2.87,0.074,0.154,0,0.87,0.107,0.776,0.044,0.268,0.662,0.015,7.9,0.583,0.9,0.264,0.966,0.666,1
09X327,Comprehensive Model School Project M.S. 327,433,0.85,0.85,0.77,0.91,0.87,0.92,2.88,3.09,0.115,0.293,0.092,0.91,0.152,0.822,0.002,0.206,0.778,0.014,4.9,0.769,0.855,0.513,0.964,0.593,0.88
09X329,DreamYard Preparatory School,271,0.87,0.91,0.73,0.95,0.95,0.93,2.5,2.27,0.225,0.247,0.004,0.95,0.269,0.856,0.007,0.273,0.694,0.018,7.2,0.652,0.846,0.477,0.965,0.423,0.71
09X365,Academy for Language and Technology,324,0.94,0.86,0.95,0.94,0.96,0.96,1.93,2.12,0.731,0.071,0,0.99,0.645,0.821,0,0,1,0,5.7,0.32,0.89,0.359,0.975,0.632,0.99
09X403,Bronx International High School,418,0.87,0.87,0.81,0.88,0.81,0.91,1.84,1.97,0.914,0.038,0,0.99,0.383,0.804,0.029,0.127,0.809,0.031,13.1,0.774,0.796,0.549,0.936,0.469,0.76
09X404,School for Excellence,326,0.71,0.75,0.65,0.88,0.86,0.87,2.33,2.04,0.27,0.279,0,0.92,0.221,0.862,0.009,0.285,0.681,0.012,2.7,0.957,0.737,0.653,0.963,0.316,0.62
09X412,Bronx High School of Business,275,0.77,0.83,0.71,0.86,0.88,0.9,2.36,2.09,0.382,0.229,0.018,0.96,0.269,0.873,0.022,0.2,0.738,0.022,2.7,0.577,0.83,0.423,0.957,0.352,0.67
09X413,Bronx High School for Medical Science,267,0.8,0.9,0.7,0.91,0.96,0.93,3.06,2.98,0.079,0.199,0.079,0.89,0.071,0.809,0.071,0.243,0.637,0.026,17.1,0.706,0.925,0.212,0.974,0.712,0.85
09X505,"Bronx School for Law, Government and Justice",477,0.75,0.69,0.64,0.79,0.82,0.82,3.1,2.76,0.082,0.205,0.027,0.85,0.13,0.746,0.015,0.245,0.723,0.013,4,0.7,0.895,0.348,0.962,0.588,0.82
09X517,Frederick Douglass Academy III Secondary School,408,0.82,0.8,0.78,0.86,0.85,0.89,2.35,2.08,0.203,0.257,0.007,0.92,0.265,0.846,0.012,0.434,0.522,0.017,3.7,0.625,0.766,0.605,0.973,0.398,0.72
09X525,Bronx Leadership Academy High School,565,0.71,0.68,0.58,0.74,0.85,0.81,2.39,2.08,0.198,0.271,0.028,0.94,0.211,0.858,0.005,0.296,0.667,0.014,0.4,0.442,0.792,0.6,0.954,0.333,0.62
09X543,High School for Violin and Dance,253,0.66,0.64,0.62,0.7,0.81,0.81,2.4,2.13,0.178,0.316,0.051,0.93,0.233,0.854,0.004,0.348,0.628,0.016,8.4,0.875,0.765,0.583,0.957,0.382,0.63
09X564,Claremont International HS,361,0.83,0.96,0.81,0.95,0.9,0.95,1.84,1.96,0.845,0.072,0,0.99,0.454,0.831,0.089,0.188,0.679,0.044,7.1,0.889,0.858,0.376,0.96,0.336,0.83
09X568,Young Women's Leadership School of the Bronx,285,0.82,0.89,0.68,0.92,0.87,0.89,3.07,3.06,0.046,0.186,0.004,0.8,0.049,0.681,0.028,0.358,0.572,0.011,6.9,0.61,0.893,0.36,0.96,N<15,0.95
